ZTSJ6537120: 48.682.994/3446-75<->74.191.138/6225-74
DMSJ7771316: 83.547.647/4107-98<->84.622.718/8797-00
JHDU1496947: 20.807.040/9727-93<->48.223.132/0184-47
UNLU0213648: 14.002.982/4406-08<->67.794.089/2383-15
TQFJ0917108: 27.760.002/5717-49<->84.091.925/9329-18
XEGU7339405: 98.331.502/1735-36<->53.617.804/1980-65
RLTU7851183: 00.559.735/1365-66<->07.092.405/2787-65
SOGU0394245: 76.863.596/0543-52<->81.166.398/4774-23
CFZJ3401267: 25.590.223/3770-40<->65.019.909/0527-05
TZVJ8593757: 08.146.364/3705-71<->11.430.507/8213-08
AAFU9805955: 10.530.199/0978-31<->61.232.656/9660-87
IHBU5834788: 17.210.607/0835-78<->28.799.267/8787-22
AQOJ0940934: 65.438.514/0298-34<->12.775.162/4238-66
UJEJ0689133: 79.811.345/4332-30<->33.361.942/7662-26
ROAU6343494: 66.393.614/1927-34<->00.469.350/6580-81
QILU4206183: 17.455.479/0289-22<->71.479.133/5614-11
VTKU9635114: 91.415.019/5217-03<->76.014.926/1459-71
JUOJ7299431: 49.066.608/0048-09<->40.426.991/6593-69
TIYJ3024768: 20.361.928/7912-29<->63.777.087/1970-46
FCZU8715448: 96.257.426/7754-58<->08.754.585/5261-37
HXAJ6039073: 74.335.543/9953-69<->21.018.402/9179-47
KLFJ5501952: 27.961.437/9646-33<->69.949.754/3518-22
RVQZ9834493: 75.515.264/7754-35<->89.353.070/2913-61
FDZU1707417: 30.489.146/2613-93<->23.132.128/1713-91
GHOU5096720: 11.986.125/1021-38<->20.451.336/5579-83
VYWZ0145746: 00.324.387/4241-41<->27.715.476/6708-19
UWKU7348414: 46.940.383/2181-94<->31.159.156/2091-54
TDTU9955058: 51.567.393/4230-07<->31.961.478/7498-26
BADJ6894535: 53.538.856/4853-83<->45.652.346/1260-50
ADBJ8777834: 73.426.933/2358-66<->02.955.872/1633-05
HAZZ9127994: 29.434.820/8910-70<->60.865.050/1772-64
YSDZ7032333: 38.696.758/5607-92<->42.282.404/9714-68
GVDU6640848: 30.133.039/9206-04<->24.003.505/3418-27
DWJJ1222217: 94.696.277/0026-23<->82.165.619/7940-36
CFOU9836668: 00.421.073/7695-31<->92.992.788/5986-98
ZQCU2443227: 08.566.192/9587-12<->53.550.745/4542-04
HNUJ1506943: 32.840.962/3687-54<->55.324.848/0835-38
OVWJ7338295: 34.022.311/2649-77<->48.999.032/3164-10
ULNZ4598072: 48.563.885/7111-44<->68.893.956/5476-84
OBHU3562985: 89.588.122/7626-75<->80.127.220/3492-95
NROU4074734: 72.645.474/4751-33<->16.441.784/1979-97
ESSU6555057: 60.542.115/5951-21<->21.897.751/7624-15
KJQZ3071695: 27.339.058/2317-33<->43.290.029/9932-52
JJOJ3005847: 40.166.846/1039-60<->40.565.661/9638-10
WTEZ1763515: 00.424.518/2846-87<->89.140.540/4359-78
BWEJ5262889: 80.802.738/7608-68<->16.004.948/7163-86
JYHJ5676899: 49.816.389/9715-08<->32.865.222/3163-87
GXBU4065576: 03.139.029/0922-07<->83.331.435/8640-01
QOZZ6304758: 70.071.842/1388-11<->76.766.666/1776-92
TVVJ9311197: 96.770.743/4628-67<->58.691.945/1949-44
GHAU9912622: 38.507.284/6989-68<->57.082.200/0271-01
PXFU7461433: 34.155.002/6844-98<->04.899.779/7473-23
CWRU7091449: 66.053.908/0242-85<->43.812.412/8672-29
HVDZ5671222: 81.114.764/9461-83<->63.729.099/0603-22
LFOZ2031373: 76.198.864/5303-44<->82.597.344/9927-67
TYHJ8287275: 26.000.575/9639-86<->46.587.825/8467-66
