0: N(1842) HP(8369) HA(10267) HM(10661) LM(14028) LP(14405) LA(17752)
1: N(1039) HP(4487) HA(5615) HM(5807) LM(7148) LA(7967) LP(8170)
2: N(119) HP(439) HA(552) HM(563) LP(617) LM(630) LA(703)
3: N(459) HP(1856) HA(2345) HM(2434) LM(3050) LP(3345) LA(3986)
4: N(1212) HP(5336) HA(6570) HM(6806) LP(8461) LM(9422) LA(10727)
5: N(559) HP(2346) HA(2938) HM(3042) LM(3608) LP(4044) LA(4350)
6: N(1999) HP(9158) HA(11145) HM(11629) LM(14128) LP(15436) LA(19134)
7: N(1554) HP(6928) HA(8564) HM(8887) LM(10310) LP(10954) LA(13425)
8: N(592) HP(2467) HA(3086) HM(3166) LM(3552) LP(4059) LA(4385)
9: N(1183) HP(5207) HA(6421) HM(6649) LP(7997) LM(8281) LA(8632)
10: N(1000) HP(4302) HA(5350) HM(5573) LP(7050) LM(7114) LA(8535)
11: N(1527) HP(6884) HA(8485) HM(8758) LM(10146) LP(12098) LA(13382)
12: N(586) HP(2472) HA(3027) HM(3097) LM(3573) LP(3634) LA(3971)
13: N(1486) HP(6682) HA(8080) HM(8433) LM(11197) LP(11800) LA(13003)
14: N(448) HP(1842) HA(2278) HM(2353) LP(2595) LM(2999) LA(3243)
15: N(976) HP(4235) HA(5214) HM(5425) LM(6159) LP(7536) LA(8198)
16: N(990) HP(4307) HA(5299) HM(5495) LM(7013) LA(7578) LP(7653)
17: N(913) HP(3942) HA(4913) HM(5060) LM(5930) LP(7298) LA(7520)
18: N(1886) HP(8597) HA(10544) HM(10953) LM(13632) LP(14164) LA(17372)
19: N(369) HP(1507) HA(1857) HM(1939) LP(2183) LM(2200) LA(2907)
20: N(1560) HP(7018) HA(8522) HM(8885) LM(11410) LP(13747) LA(15508)
21: N(347) HP(1419) HA(1743) HM(1803) LP(2133) LM(2295) LA(2978)
22: N(123) HP(454) HA(578) HM(596) LP(611) LM(675) LA(781)
23: N(294) HP(1172) HA(1460) HM(1532) LM(1719) LA(1865) LP(2065)
24: N(1246) HP(5452) HA(6786) HM(7036) LM(8600) LP(8757) LA(9647)
